layout,S,H,D,head_start,heads_processed,trial,iterations,ns_per_call,max_abs_error,seed,cache_mode
DSH,1024,1,64,0,1,5,512,43042.4804688,2.08349594288e-06,0,repeated_buffer
HSD,1024,1,64,0,1,5,1024,19674.3164062,2.56033310109e-06,0,repeated_buffer
SHD,1024,1,64,0,1,6,1024,19649.0888672,2.56033310109e-06,0,repeated_buffer
DSH,1024,1,64,0,1,6,512,42724.203125,2.08349594288e-06,0,repeated_buffer
HSD,1024,1,64,0,1,6,1024,19668.8232422,2.56033310109e-06,0,repeated_buffer
HSD,1024,1,64,0,1,7,1024,19726.0332031,2.56033310109e-06,0,repeated_buffer
DSH,1024,1,64,0,1,7,512,43099.0390625,2.08349594288e-06,0,repeated_buffer
SHD,1024,1,64,0,1,7,1024,19698.6894531,2.56033310109e-06,0,repeated_buffer
DSH,1024,1,64,0,1,8,512,44224.8535156,2.08349594288e-06,0,repeated_buffer
SHD,1024,1,64,0,1,8,1024,19751.5058594,2.56033310109e-06,0,repeated_buffer
HSD,1024,1,64,0,1,8,1024,19651.7744141,2.56033310109e-06,0,repeated_buffer
HSD,1024,1,64,0,1,9,1024,19678.3857422,2.56033310109e-06,0,repeated_buffer
DSH,1024,1,64,0,1,9,512,43265.0546875,2.08349594288e-06,0,repeated_buffer
SHD,1024,1,64,0,1,9,1024,19683.7568359,2.56033310109e-06,0,repeated_buffer
DSH,1024,1,128,0,1,0,256,119068.035156,4.95787844557e-06,0,repeated_buffer
HSD,1024,1,128,0,1,0,512,55291.3417969,4.00420412916e-06,0,repeated_buffer
SHD,1024,1,128,0,1,0,512,55277.8320312,4.00420412916e-06,0,repeated_buffer
HSD,1024,1,128,0,1,1,512,55149.0058594,4.00420412916e-06,0,repeated_buffer
DSH,1024,1,128,0,1,1,256,118665.527344,4.95787844557e-06,0,repeated_buffer
SHD,1024,1,128,0,1,1,512,55992.59375,4.00420412916e-06,0,repeated_buffer
DSH,1024,1,128,0,1,2,256,119006.023438,4.95787844557e-06,0,repeated_buffer
HSD,1024,1,128,0,1,2,512,55345.2148438,4.00420412916e-06,0,repeated_buffer
SHD,1024,1,128,0,1,2,512,55483.8867188,4.00420412916e-06,0,repeated_buffer
SHD,1024,1,128,0,1,3,512,55532.9589844,4.00420412916e-06,0,repeated_buffer
HSD,1024,1,128,0,1,3,512,55494.3847656,4.00420412916e-06,0,repeated_buffer
