layout,S,H,D,head_start,heads_processed,trial,iterations,ns_per_call,max_abs_error,seed,cache_mode
SHD,8192,1,128,0,1,3,64,442447.921875,5.02955299453e-06,0,repeated_buffer
HSD,8192,1,128,0,1,4,64,439216.15625,5.02955299453e-06,0,repeated_buffer
DSH,8192,1,128,0,1,4,32,970350.25,5.98322731094e-06,0,repeated_buffer
SHD,8192,1,128,0,1,4,64,438368.484375,5.02955299453e-06,0,repeated_buffer
HSD,8192,1,128,0,1,5,64,441797.53125,5.02955299453e-06,0,repeated_buffer
DSH,8192,1,128,0,1,5,32,979786.4375,5.98322731094e-06,0,repeated_buffer
SHD,8192,1,128,0,1,5,64,441409.5,5.02955299453e-06,0,repeated_buffer
DSH,8192,1,128,0,1,6,32,982703.125,5.98322731094e-06,0,repeated_buffer
SHD,8192,1,128,0,1,6,64,442656.90625,5.02955299453e-06,0,repeated_buffer
HSD,8192,1,128,0,1,6,64,440701.171875,5.02955299453e-06,0,repeated_buffer
HSD,8192,1,128,0,1,7,64,441676.4375,5.02955299453e-06,0,repeated_buffer
DSH,8192,1,128,0,1,7,32,982834.625,5.98322731094e-06,0,repeated_buffer
SHD,8192,1,128,0,1,7,64,442067.703125,5.02955299453e-06,0,repeated_buffer
HSD,8192,1,128,0,1,8,64,443147.78125,5.02955299453e-06,0,repeated_buffer
DSH,8192,1,128,0,1,8,32,979861.96875,5.98322731094e-06,0,repeated_buffer
SHD,8192,1,128,0,1,8,64,438035.15625,5.02955299453e-06,0,repeated_buffer
SHD,8192,1,128,0,1,9,64,441141.921875,5.02955299453e-06,0,repeated_buffer
DSH,8192,1,128,0,1,9,32,980173.1875,5.98322731094e-06,0,repeated_buffer
HSD,8192,1,128,0,1,9,64,438474.609375,5.02955299453e-06,0,repeated_buffer
HSD,8192,32,64,16,1,0,128,156839.1875,2.20415346064e-06,0,repeated_buffer
SHD,8192,32,64,16,1,0,128,168646.484375,2.20415346064e-06,0,repeated_buffer
DSH,8192,32,64,16,1,0,8,2233411.375,2.20415346064e-06,0,repeated_buffer
SHD,8192,32,64,16,1,1,128,166693.6875,2.20415346064e-06,0,repeated_buffer
DSH,8192,32,64,16,1,1,8,2230078.125,2.20415346064e-06,0,repeated_buffer
HSD,8192,32,64,16,1,1,128,156902.992188,2.20415346064e-06,0,repeated_buffer
SHD,8192,32,64,16,1,2,128,167689.773438,2.20415346064e-06,0,repeated_buffer
HSD,8192,32,64,16,1,2,128,157372.398438,2.20415346064e-06,0,repeated_buffer
DSH,8192,32,64,16,1,2,8,2251614.5,2.20415346064e-06,0,repeated_buffer
DSH,8192,32,64,16,1,3,8,2241109.375,2.20415346064e-06,0,repeated_buffer
HSD,8192,32,64,16,1,3,128,156828.125,2.20415346064e-06,0,repeated_buffer
SHD,8192,32,64,16,1,3,128,167981.117188,2.20415346064e-06,0,repeated_buffer
DSH,8192,32,64,16,1,4,8,2210260.375,2.20415346064e-06,0,repeated_buffer
SHD,8192,32,64,16,1,4,128,167500.976562,2.20415346064e-06,0,repeated_buffer
HSD,8192,32,64,16,1,4,128,157985.679688,2.20415346064e-06,0,repeated_buffer
HSD,8192,32,64,16,1,5,128,157193.6875,2.20415346064e-06,0,repeated_buffer
SHD,8192,32,64,16,1,5,128,168395.835938,2.20415346064e-06,0,repeated_buffer
DSH,8192,32,64,16,1,5,8,2448770.875,2.20415346064e-06,0,repeated_buffer
HSD,8192,32,64,16,1,6,128,156837.242188,2.20415346064e-06,0,repeated_buffer
DSH,8192,32,64,16,1,6,8,2251598.875,2.20415346064e-06,0,repeated_buffer
SHD,8192,32,64,16,1,6,128,168529.945312,2.20415346064e-06,0,repeated_buffer
DSH,8192,32,64,16,1,7,8,2237421.875,2.20415346064e-06,0,repeated_buffer
SHD,8192,32,64,16,1,7,128,168879.234375,2.20415346064e-06,0,repeated_buffer
HSD,8192,32,64,16,1,7,128,156876.953125,2.20415346064e-06,0,repeated_buffer
SHD,8192,32,64,16,1,8,128,167142.25,2.20415346064e-06,0,repeated_buffer
HSD,8192,32,64,16,1,8,128,156929.6875,2.20415346064e-06,0,repeated_buffer
DSH,8192,32,64,16,1,8,8,2206062.5,2.20415346064e-06,0,repeated_buffer
SHD,8192,32,64,16,1,9,128,169078.78125,2.20415346064e-06,0,repeated_buffer
DSH,8192,32,64,16,1,9,8,2224807.25,2.20415346064e-06,0,repeated_buffer
HSD,8192,32,64,16,1,9,128,157875.328125,2.20415346064e-06,0,repeated_buffer
HSD,8192,32,128,16,1,0,64,448313.796875,6.30243245325e-06,0,repeated_buffer
SHD,8192,32,128,16,1,0,32,623998.6875,6.30243245325e-06,0,repeated_buffer
DSH,8192,32,128,16,1,0,8,4513416.625,6.30243245325e-06,0,repeated_buffer
HSD,8192,32,128,16,1,1,64,447747.390625,6.30243245325e-06,0,repeated_buffer
DSH,8192,32,128,16,1,1,8,4486697.875,6.30243245325e-06,0,repeated_buffer
SHD,8192,32,128,16,1,1,32,627791.6875,6.30243245325e-06,0,repeated_buffer
SHD,8192,32,128,16,1,2,32,632622.40625,6.30243245325e-06,0,repeated_buffer
HSD,8192,32,128,16,1,2,64,438789.71875,6.30243245325e-06,0,repeated_buffer
DSH,8192,32,128,16,1,2,8,4581666.625,6.30243245325e-06,0,repeated_buffer
HSD,8192,32,128,16,1,3,64,441032.546875,6.30243245325e-06,0,repeated_buffer
DSH,8192,32,128,16,1,3,8,4504145.875,6.30243245325e-06,0,repeated_buffer
SHD,8192,32,128,16,1,3,32,627436.21875,6.30243245325e-06,0,repeated_buffer
HSD,8192,32,128,16,1,4,64,441048.171875,6.30243245325e-06,0,repeated_buffer
DSH,8192,32,128,16,1,4,8,4490734.375,6.30243245325e-06,0,repeated_buffer
SHD,8192,32,128,16,1,4,32,622806,6.30243245325e-06,0,repeated_buffer
DSH,8192,32,128,16,1,5,8,4482843.75,6.30243245325e-06,0,repeated_buffer
SHD,8192,32,128,16,1,5,32,623079.4375,6.30243245325e-06,0,repeated_buffer
HSD,8192,32,128,16,1,5,64,442057.296875,6.30243245325e-06,0,repeated_buffer
HSD,8192,32,128,16,1,6,64,440927.078125,6.30243245325e-06,0,repeated_buffer
DSH,8192,32,128,16,1,6,8,4563161.5,6.30243245325e-06,0,repeated_buffer
SHD,8192,32,128,16,1,6,32,655257.8125,6.30243245325e-06,0,repeated_buffer
DSH,8192,32,128,16,1,7,8,4510317.75,6.30243245325e-06,0,repeated_buffer
HSD,8192,32,128,16,1,7,64,440333.984375,6.30243245325e-06,0,repeated_buffer
SHD,8192,32,128,16,1,7,32,671612,6.30243245325e-06,0,repeated_buffer
HSD,8192,32,128,16,1,8,64,442639.328125,6.30243245325e-06,0,repeated_buffer
DSH,8192,32,128,16,1,8,8,4483786.375,6.30243245325e-06,0,repeated_buffer
