run,S,H,D,head_start,heads_processed,layout,samples,median_us,q1_us,q3_us,time_over_hsd
Run2,1024,1,128,0,1,DSH,10,118.947183594,118.77852343725,119.71878906225,2.139503216928365
Run2,1024,1,128,0,1,HSD,10,55.59570214845,55.212381835925,55.7614536133,1.0
Run2,1024,1,128,0,1,SHD,10,55.3228759766,55.12284326175,55.983663574225005,0.995092675129428
Run2,1024,8,64,4,1,DSH,10,52.792113281249996,52.71632910157499,52.927266113274996,2.6819974626285426
Run2,1024,8,64,4,1,HSD,10,19.68387890625,19.658843994174998,19.695434326125,1.0
Run2,1024,8,64,4,1,SHD,10,19.7054038086,19.667714355450002,19.72650146485,1.0010935295046528
Run2,1024,8,128,4,1,DSH,10,119.035564453,117.59212304649999,119.57503418,2.1495822065025316
Run2,1024,8,128,4,1,HSD,10,55.3761396484,55.28112792967501,55.7972416992,1.0
Run2,1024,8,128,4,1,SHD,10,55.6882324219,55.419840332025004,55.961608886725,1.0056358708909934
Run2,1024,32,64,16,1,DSH,10,80.60083007815,80.24792675785,81.425212890625,4.0990936180792445
Run2,1024,32,64,16,1,HSD,10,19.6630859375,19.635976074225,19.6748762207,1.0
Run2,1024,32,64,16,1,SHD,10,20.84250878905,20.698100097625,20.891164306599997,1.0599815743723466
Run2,1024,32,128,16,1,DSH,10,319.7161484375,318.287765625,340.0037421875,5.782429242676891
Run2,1024,32,128,16,1,HSD,10,55.290974609399996,55.2587480469,55.330953613275,1.0
Run2,1024,32,128,16,1,SHD,10,74.08365917969999,73.90437792967501,74.5901889648,1.3398870195915313
Run2,8192,1,64,0,1,DSH,10,672.556640625,668.0488359375,675.7464296874999,4.271397138305698
Run2,8192,1,64,0,1,HSD,10,157.455890625,157.1415996095,157.630207031,1.0
Run2,8192,1,64,0,1,SHD,10,157.456054688,157.37980078125,157.67732421875,1.0000010419616525
